busy_ranges,availability
"[[Timestamp('2021-01-09 19:00:00'), Timestamp('2021-01-09 22:15:00')], [Timestamp('2021-01-09 23:30:00'), Timestamp('2021-01-10 01:45:00')], [Timestamp('2021-01-10 17:59:59.999000'), Timestamp('2021-01-10 22:00:00')], [Timestamp('2021-01-10 22:00:00'), Timestamp('2021-01-10 23:30:00')], [Timestamp('2021-01-10 23:50:00'), Timestamp('2021-01-11 02:00:00')], [Timestamp('2021-01-11 07:45:00'), Timestamp('2021-01-11 13:29:59.999000')], [Timestamp('2021-01-11 17:59:59.999000'), Timestamp('2021-01-11 22:00:00')], [Timestamp('2021-01-11 22:00:00'), Timestamp('2021-01-11 23:30:00')], [Timestamp('2021-01-11 23:50:00'), Timestamp('2021-01-12 02:00:00')], [Timestamp('2021-01-12 02:35:00'), Timestamp('2021-01-12 05:05:00')], [Timestamp('2021-01-12 05:10:00'), Timestamp('2021-01-12 07:45:00')], [Timestamp('2021-01-12 09:35:00'), Timestamp('2021-01-12 14:30:00')], [Timestamp('2021-01-12 17:59:59.999000'), Timestamp('2021-01-12 22:00:00')], [Timestamp('2021-01-12 22:00:00'), Timestamp('2021-01-12 23:30:00')], [Timestamp('2021-01-13 02:35:00'), Timestamp('2021-01-13 05:05:00')], [Timestamp('2021-01-13 05:10:00'), Timestamp('2021-01-13 07:45:00')], [Timestamp('2021-01-13 07:45:00'), Timestamp('2021-01-13 13:29:59.999000')], [Timestamp('2021-01-13 17:59:59.999000'), Timestamp('2021-01-13 22:00:00')], [Timestamp('2021-01-13 22:00:00'), Timestamp('2021-01-13 23:30:00')], [Timestamp('2021-01-13 23:50:00'), Timestamp('2021-01-14 02:00:00')], [Timestamp('2021-01-14 02:35:00'), Timestamp('2021-01-14 05:05:00')], [Timestamp('2021-01-14 07:45:00'), Timestamp('2021-01-14 13:29:59.999000')], [Timestamp('2021-01-14 17:59:59.999000'), Timestamp('2021-01-14 22:00:00')], [Timestamp('2021-01-14 22:00:00'), Timestamp('2021-01-14 23:30:00')], [Timestamp('2021-01-14 23:50:00'), Timestamp('2021-01-15 02:00:00')], [Timestamp('2021-01-15 02:35:00'), Timestamp('2021-01-15 05:05:00')], [Timestamp('2021-01-15 07:45:00'), Timestamp('2021-01-15 13:29:59.999000')], [Timestamp('2021-01-15 19:00:00'), Timestamp('2021-01-15 22:15:00')], [Timestamp('2021-01-16 05:10:00'), Timestamp('2021-01-16 07:45:00')], [Timestamp('2021-01-16 02:35:00'), Timestamp('2021-01-16 05:05:00')], [Timestamp('2021-01-15 23:50:00'), Timestamp('2021-01-16 02:00:00')], [Timestamp('2021-01-16 08:19:59.999000'), Timestamp('2021-01-16 11:45:00')]]",False
"[[Timestamp('2021-01-10 00:15:00'), Timestamp('2021-01-10 01:34:59.999000')], [Timestamp('2021-01-10 18:49:59.999000'), Timestamp('2021-01-10 20:30:00')], [Timestamp('2021-01-10 21:44:59.999000'), Timestamp('2021-01-11 02:19:59.999000')], [Timestamp('2021-01-11 08:14:59.999000'), Timestamp('2021-01-11 16:00:00')], [Timestamp('2021-01-11 19:00:00'), Timestamp('2021-01-11 22:15:00')], [Timestamp('2021-01-11 22:29:59.999000'), Timestamp('2021-01-12 00:10:00')], [Timestamp('2021-01-12 02:59:59.999000'), Timestamp('2021-01-12 07:50:00')], [Timestamp('2021-01-12 09:35:00'), Timestamp('2021-01-12 15:04:59.999000')], [Timestamp('2021-01-12 19:00:00'), Timestamp('2021-01-12 22:15:00')], [Timestamp('2021-01-12 22:29:59.999000'), Timestamp('2021-01-13 00:10:00')], [Timestamp('2021-01-13 02:59:59.999000'), Timestamp('2021-01-13 07:50:00')], [Timestamp('2021-01-13 09:35:00'), Timestamp('2021-01-13 15:04:59.999000')], [Timestamp('2021-01-13 19:00:00'), Timestamp('2021-01-13 22:15:00')], [Timestamp('2021-01-13 22:29:59.999000'), Timestamp('2021-01-14 00:20:00')], [Timestamp('2021-01-14 02:59:59.999000'), Timestamp('2021-01-14 07:50:00')], [Timestamp('2021-01-14 09:35:00'), Timestamp('2021-01-14 15:04:59.999000')], [Timestamp('2021-01-14 19:00:00'), Timestamp('2021-01-14 22:15:00')], [Timestamp('2021-01-14 22:29:59.999000'), Timestamp('2021-01-15 00:20:00')], [Timestamp('2021-01-15 02:59:59.999000'), Timestamp('2021-01-15 07:50:00')], [Timestamp('2021-01-15 09:35:00'), Timestamp('2021-01-15 14:30:00')], [Timestamp('2021-01-15 20:14:59.999000'), Timestamp('2021-01-15 21:35:00')], [Timestamp('2021-01-15 21:44:59.999000'), Timestamp('2021-01-16 02:19:59.999000')], [Timestamp('2021-01-16 07:45:00'), Timestamp('2021-01-16 13:29:59.999000')]]",False
"[[Timestamp('2021-01-10 19:00:00'), Timestamp('2021-01-10 20:35:00')], [Timestamp('2021-01-10 22:29:59.999000'), Timestamp('2021-01-11 00:10:00')], [Timestamp('2021-01-11 08:19:59.999000'), Timestamp('2021-01-11 11:45:00')], [Timestamp('2021-01-11 20:14:59.999000'), Timestamp('2021-01-11 21:35:00')], [Timestamp('2021-01-11 21:44:59.999000'), Timestamp('2021-01-12 02:19:59.999000')], [Timestamp('2021-01-12 10:15:00'), Timestamp('2021-01-12 14:55:00')], [Timestamp('2021-01-12 20:14:59.999000'), Timestamp('2021-01-12 21:35:00')], [Timestamp('2021-01-12 21:44:59.999000'), Timestamp('2021-01-13 02:19:59.999000')], [Timestamp('2021-01-13 10:15:00'), Timestamp('2021-01-13 14:55:00')], [Timestamp('2021-01-13 20:14:59.999000'), Timestamp('2021-01-13 21:35:00')], [Timestamp('2021-01-13 21:44:59.999000'), Timestamp('2021-01-14 02:19:59.999000')], [Timestamp('2021-01-14 10:15:00'), Timestamp('2021-01-14 14:55:00')], [Timestamp('2021-01-14 20:14:59.999000'), Timestamp('2021-01-14 21:35:00')], [Timestamp('2021-01-14 21:44:59.999000'), Timestamp('2021-01-15 02:19:59.999000')], [Timestamp('2021-01-15 10:15:00'), Timestamp('2021-01-15 14:55:00')], [Timestamp('2021-01-15 17:59:59.999000'), Timestamp('2021-01-15 22:00:00')], [Timestamp('2021-01-15 22:00:00'), Timestamp('2021-01-15 23:30:00')], [Timestamp('2021-01-16 08:14:59.999000'), Timestamp('2021-01-16 12:30:00')]]",False
"[[Timestamp('2021-01-10 19:00:00'), Timestamp('2021-01-10 22:15:00')], [Timestamp('2021-01-10 22:29:59.999000'), Timestamp('2021-01-11 00:20:00')], [Timestamp('2021-01-11 09:35:00'), Timestamp('2021-01-11 15:04:59.999000')], [Timestamp('2021-01-11 20:35:00'), Timestamp('2021-01-11 22:29:59.999000')], [Timestamp('2021-01-11 23:14:59.999000'), Timestamp('2021-01-12 00:44:59.999000')], [Timestamp('2021-01-12 10:45:00'), Timestamp('2021-01-12 15:30:00')], [Timestamp('2021-01-12 20:35:00'), Timestamp('2021-01-12 22:29:59.999000')], [Timestamp('2021-01-12 22:29:59.999000'), Timestamp('2021-01-13 00:20:00')], [Timestamp('2021-01-13 10:25:00'), Timestamp('2021-01-13 16:00:00')], [Timestamp('2021-01-13 20:35:00'), Timestamp('2021-01-13 22:29:59.999000')], [Timestamp('2021-01-13 22:29:59.999000'), Timestamp('2021-01-14 00:10:00')], [Timestamp('2021-01-14 10:25:00'), Timestamp('2021-01-14 16:00:00')], [Timestamp('2021-01-14 20:35:00'), Timestamp('2021-01-14 22:29:59.999000')], [Timestamp('2021-01-14 22:29:59.999000'), Timestamp('2021-01-15 00:10:00')], [Timestamp('2021-01-15 10:25:00'), Timestamp('2021-01-15 16:00:00')], [Timestamp('2021-01-15 20:35:00'), Timestamp('2021-01-15 22:29:59.999000')], [Timestamp('2021-01-15 22:29:59.999000'), Timestamp('2021-01-16 00:10:00')], [Timestamp('2021-01-16 08:14:59.999000'), Timestamp('2021-01-16 16:00:00')]]",False
"[[Timestamp('2021-01-10 19:20:00'), Timestamp('2021-01-10 20:30:00')], [Timestamp('2021-01-10 23:14:59.999000'), Timestamp('2021-01-11 00:44:59.999000')], [Timestamp('2021-01-11 10:15:00'), Timestamp('2021-01-11 14:55:00')], [Timestamp('2021-01-12 23:14:59.999000'), Timestamp('2021-01-13 00:44:59.999000')], [Timestamp('2021-01-13 10:45:00'), Timestamp('2021-01-13 15:30:00')], [Timestamp('2021-01-13 23:14:59.999000'), Timestamp('2021-01-14 00:44:59.999000')], [Timestamp('2021-01-14 10:45:00'), Timestamp('2021-01-14 15:30:00')], [Timestamp('2021-01-14 23:14:59.999000'), Timestamp('2021-01-15 00:44:59.999000')], [Timestamp('2021-01-15 10:45:00'), Timestamp('2021-01-15 15:30:00')], [Timestamp('2021-01-15 22:29:59.999000'), Timestamp('2021-01-16 00:20:00')], [Timestamp('2021-01-16 09:35:00'), Timestamp('2021-01-16 14:30:00')]]",False
"[[Timestamp('2021-01-10 20:14:59.999000'), Timestamp('2021-01-10 21:35:00')], [Timestamp('2021-01-11 10:25:00'), Timestamp('2021-01-11 16:00:00')], [Timestamp('2021-01-15 23:14:59.999000'), Timestamp('2021-01-16 00:44:59.999000')], [Timestamp('2021-01-16 10:15:00'), Timestamp('2021-01-16 14:55:00')]]",False
"[[Timestamp('2021-01-10 20:14:59.999000'), Timestamp('2021-01-10 22:00:00')], [Timestamp('2021-01-11 10:45:00'), Timestamp('2021-01-11 15:30:00')], [Timestamp('2021-01-16 10:25:00'), Timestamp('2021-01-16 16:15:00')]]",False
"[[Timestamp('2021-01-10 20:19:59.999000'), Timestamp('2021-01-10 21:55:00')], [Timestamp('2021-01-16 11:05:00'), Timestamp('2021-01-16 15:24:59.999000')]]",True
[],True
[],True
